,Dataset,GA,PA,FGA,FTA
0,Proxifier,0.521,0.695,0.737,0.695
1,Linux,0.8,0.479,0.796,0.515
2,Apache,0.997,0.971,0.949,0.814
3,Zookeeper,0.994,0.824,0.897,0.771
4,Hadoop,0.904,0.445,0.831,0.535
5,HealthApp,0.998,0.994,0.961,0.85
6,OpenStack,1.0,0.408,1.0,0.875
7,HPC,0.992,0.965,0.853,0.822
8,Mac,0.884,0.448,0.827,0.397
9,OpenSSH,0.779,0.722,0.897,0.902
10,Spark,0.974,0.74,0.871,0.583
11,Thunderbird,0.849,0.244,0.818,0.41
12,BGL,0.946,0.684,0.883,0.687
13,HDFS,0.961,0.948,0.791,0.651
14,Average,0.9,0.683,0.865,0.679
