,Dataset,GA,PA,FGA,FTA
0,Proxifier,0.521,0.703,0.737,0.737
1,Linux,0.79,0.097,0.751,0.275
2,Apache,0.997,0.287,0.933,0.467
3,Zookeeper,0.993,0.822,0.798,0.601
4,Hadoop,0.563,0.143,0.528,0.2
5,HealthApp,0.98,0.304,0.902,0.399
6,OpenStack,1.0,0.141,1.0,0.292
7,HPC,0.8,0.663,0.447,0.213
8,Mac,0.834,0.325,0.755,0.294
9,OpenSSH,0.663,0.481,0.759,0.345
10,Spark,0.972,0.393,0.208,0.097
11,Thunderbird,0.792,0.261,0.748,0.274
12,BGL,0.94,0.402,0.755,0.197
13,HDFS,0.96,0.929,0.759,0.621
14,Average,0.843,0.425,0.72,0.358
