,Dataset,GA,PA,FGA,FTA
0,Proxifier,0.794,0.993,0.686,0.847
1,Linux,0.213,0.431,0.706,0.404
2,Apache,0.802,0.949,0.55,0.343
3,Zookeeper,0.984,0.845,0.915,0.799
4,Hadoop,0.674,0.684,0.537,0.443
5,HealthApp,0.862,0.99,0.898,0.792
6,OpenStack,0.53,0.407,0.885,0.76
7,HPC,0.764,0.995,0.745,0.727
8,Mac,0.56,0.422,0.462,0.263
9,OpenSSH,0.278,0.643,0.11,0.136
10,Spark,0.515,0.952,0.38,0.323
11,Thunderbird,0.482,0.324,0.302,0.166
12,BGL,0.271,0.874,0.336,0.332
13,HDFS,0.294,0.908,0.362,0.296
14,Average,0.573,0.744,0.562,0.474
