,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,8.0,399.0,30.0,76.0,285.0,160.0,48.0,84.0,724.0,45.0,257.0,1443.0,364.0,40.0,283.071
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.801,0.997,0.994,0.894,0.998,1.0,0.991,0.885,0.779,0.974,0.846,0.943,0.961,0.899
PA,0.688,0.701,0.971,0.844,0.466,0.997,0.408,0.876,0.475,0.722,0.852,0.222,0.737,0.948,0.708
FGA,0.737,0.801,0.949,0.897,0.81,0.962,1.0,0.886,0.831,0.843,0.897,0.813,0.877,0.791,0.864
PTA,0.625,0.486,0.8,0.882,0.47,0.844,0.875,0.798,0.374,0.8,0.584,0.388,0.637,0.7,0.662
RTA,0.455,0.574,0.828,0.753,0.568,0.865,0.875,0.905,0.433,0.947,0.636,0.451,0.725,0.609,0.687
FTA,0.526,0.526,0.814,0.812,0.514,0.854,0.875,0.848,0.401,0.867,0.609,0.417,0.678,0.651,0.671
